Marka,Model,Motor Hacmi,Güç,Yıl,Kilometre,Yakıt Tipi,Vites Türü,Garanti Durumu,Fiyat
Volkswagen, Tiguan,1.5 Etsi Act 150 Ps R-line Dsg,2024,7932, Hibrit, Tiptronic, DS Garantisi,2690000
Volkswagen, Passat,1.5 Etsi 150 Ps R-line Dsg (n),2024,9760, Hibrit, Tiptronic, DS Garantisi,2690000
Volkswagen, Passat,1.5 Etsi 150 Ps Elegance Dsg (n),2024,7975, Hibrit, Tiptronic, DS Garantisi,2592900
Volkswagen, Passat,1.5 Etsi 150 Ps R-line Dsg,2024,17600, Hibrit, Tiptronic, DS Garantisi,2580000
Volkswagen, Caravelle,Comfortline 2.0 Tdi 8+1 Uzun 150 Ps Dsg,2024,6530, Dizel, Tiptronic, DS Garantisi,2500000
Volkswagen, Tiguan,1.5 Tsi Act 150 Ps Elegance Dsg,2024,19000, Benzin, Tiptronic, DS Garantisi,2495000
Volkswagen, Passat Variant,1.5 Tsi Act 150 Ps Business Dsg,2024,9960, Benzin, Tiptronic, DS Garantisi,2395000
Volkswagen, Tiguan,1.5 Etsi Act 150 Ps Life Dsg,2024,14738, Hibrit, Tiptronic, DS Garantisi,2135000
Volkswagen, Tiguan,1.5 Etsi Act 150 Ps Life Dsg,2024,10796, Hibrit, Tiptronic, DS Garantisi,2135000
Volkswagen, Tiguan,1.5 Tsi Act 150 Ps Life Dsg,2024,14424, Benzin, Tiptronic, Garantisiz,2129500
Volkswagen, T-roc,1.5 Tsi 150ps Life Dsg,2024,21586, Benzin, Tiptronic, DS Garantisi,1695000
Volkswagen, T-cross,1.0 Tsi 115 Ps R-line Dsg,2024,6001, Benzin, Tiptronic, DS Garantisi,1650000
Volkswagen, T-cross,1.0 Tsi 115 Ps R-line Dsg,2024,8679, Benzin, Tiptronic, DS Garantisi,1593000
Volkswagen, Caddy,2.0 Tdi 122 Ps Style Dsg,2024,21200, Dizel, Tiptronic, DS Garantisi,1569000
Volkswagen, Caddy,2.0 Tdi 122 Ps Style Dsg,2024,30650, Dizel, Tiptronic, DS Garantisi,1550000
Volkswagen, Caddy,2.0 Tdi 122 Ps Style Dsg,2024,28280, Dizel, Tiptronic, DS Garantisi,1529900
Volkswagen, Caddy,2.0 Tdi 122 Ps Style Dsg,2024,29783, Dizel, Tiptronic, DS Garantisi,1520000
Volkswagen, Caddy,2.0 Tdi 122 Ps Style Dsg,2024,16064, Dizel, Tiptronic, DS Garantisi,1514500
Volkswagen, Caddy,2.0 Tdi 122 Ps Style Dsg,2024,37220, Dizel, Tiptronic, DS Garantisi,1509900
Volkswagen, Caddy,2.0 Tdi 122 Ps Style Dsg,2024,48790, Dizel, Tiptronic, DS Garantisi,1440000
Volkswagen, T-cross,1.0 Tsi 115 Ps Life Dsg,2024,15834, Benzin, Tiptronic, DS Garantisi,1430000
Volkswagen, Taigo,1.0 Tsi 115 Ps Life Dsg,2024,8575, Benzin, Tiptronic, DS Garantisi,1380000
Volkswagen, Caddy,2.0 Tdi 122 Ps Life Dsg,2024,12600, Dizel, Tiptronic, Garantisiz,1379500
Volkswagen, Taigo,1.0 Tsi 110ps Life Dsg,2024,6500, Benzin, Tiptronic, Garantisiz,1379500
Volkswagen, Caddy,2.0 Tdi 122 Ps Life Dsg,2024,25930, Dizel, Tiptronic, DS Garantisi,1375000
Volkswagen, Caddy,2.0 Tdi 122 Ps Life Dsg,2024,40300, Dizel, Tiptronic, DS Garantisi,1285000
Volkswagen, Polo,1.0 Tsi 95 Ps Style Dsg,2024,13033, Benzin, Tiptronic, DS Garantisi,1258000
Volkswagen, Caddy,2.0 Tdi 122 Ps Life Dsg,2024,56595, Dizel, Tiptronic, Garantisiz,1255000
Volkswagen, Polo,1.0 Tsi 95 Ps Life Dsg,2024,12500, Benzin, Tiptronic, DS Garantisi,1250000
Volkswagen, Polo,1.0 Tsi 95 Ps Life Dsg,2024,15255, Benzin, Tiptronic, DS Garantisi,1235000
Volkswagen, Caddy,Cargo Maxi 2.0 Tdi 122 Ps Dsg,2024,9133, Dizel, Tiptronic, DS Garantisi,1165000
Volkswagen, Caddy,Cargo 2.0 Tdi 122 Ps Dsg,2024,7280, Dizel, Tiptronic, Garantisiz,1054000
Toyota, Corolla,Hybrid Flame X-pack E-cvt,2024,26904, Hibrit, Otomatik, Garantisiz,1625000
Toyota, Corolla,Hybrid Dream E-cvt,2024,29799, Hibrit, Otomatik, Garantisiz,1430000
Skoda, Octavia,1.5 Tsi Act E-tec 150 Ps Dsg Prestige,2024,6100, Hibrit, Tiptronic, DS Garantisi,2119000
Skoda, Karoq,1.5 Tsi 150 Ps Act Dsg Elite,2024,15121, Benzin, Tiptronic, Garantisiz,1934900
Skoda, Karoq,1.5 Tsi 150 Ps Act Dsg Elite,2024,15302, Benzin, Tiptronic, Garantisiz,1899900
Skoda, Fabia,1.0 Tsi 110 Ps Dsg Premium,2024,6904, Benzin, Tiptronic, DS Garantisi,1240000
Seat, Leon,1.0 Etsi 110 Hp Dsg Style,2024,23529, Hibrit, Tiptronic, DS Garantisi,1428000
Seat, Leon,1.0 Etsi 110 Hp Dsg Style,2024,33111, Hibrit, Tiptronic, DS Garantisi,1398000
Seat, Leon,1.0 Etsi 110 Hp Dsg Style,2024,16416, Hibrit, Tiptronic, DS Garantisi,1388000
